Zipcode,State,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
501,NY,Suffolk County,Holtsville,5/31/2022,5
602,AL,Lee County,Auburn,5/31/2022,4.9
606,MO,Newton County,Neosho,5/31/2022,5.5
705,UT,Kane County,Aibonito,5/31/2022,4.5
734,TX,Midland County,Ponce,5/31/2022,3.2
791,NM,San Miguel County,Humacao,5/31/2022,4
801,UT,Kane County,Charlotte Amalie,5/31/2022,3.2
822,LA,Lincoln Parish,Choudrant,5/31/2022,2.2
917,UT,Kane County,San Juan,5/31/2022,8
953,LA,East Feliciana Parish,Ethel,5/31/2022,4.7
1001,MA,Hampden County,Agawam,5/31/2022,6.6
1002,MA,Hampshire County,Amherst,5/31/2022,5.7
1005,MA,Worcester County,Barre,5/31/2022,6.3
1007,MA,Hampshire County,Belchertown,5/31/2022,5.8
1008,MA,Hampden County,Blandford,5/31/2022,6.8
1009,TX,Jefferson County,Nome,5/31/2022,4.6
1010,MA,Hampden County,Brimfield,5/31/2022,7.2
1011,MA,Hampden County,Chester,5/31/2022,5.5
1012,MA,Hampshire County,Chesterfield,5/31/2022,6
1013,MA,Hampden County,Chicopee,5/31/2022,6.8
1020,MA,Hampden County,Chicopee,5/31/2022,6.7
1022,MA,Hampden County,Chicopee,5/31/2022,7.1
1026,MA,Hampshire County,Cummington,5/31/2022,5.9
1027,MA,Hampshire County,Easthampton,5/31/2022,5.6
1028,MA,Hampden County,East Longmeadow,5/31/2022,6.3
1029,MA,Berkshire County,Otis,5/31/2022,7.5
1030,MA,Hampden County,Agawam,5/31/2022,6.4
1031,MA,Worcester County,Hardwick,5/31/2022,6.5
1032,MA,Hampshire County,Goshen,5/31/2022,7.5
1033,MA,Hampshire County,Granby,5/31/2022,5.8
1034,MA,Hampden County,Tolland,5/31/2022,6.4
1035,MA,Hampshire County,Hadley,5/31/2022,6.6
1036,MA,Hampden County,Hampden,5/31/2022,6.6
1037,MA,Worcester County,Hardwick,5/31/2022,6.3
1038,MA,Hampshire County,Hatfield,5/31/2022,6.1
1039,MA,Hampshire County,Williamsburg,5/31/2022,7.2
1040,MA,Hampden County,Holyoke,5/31/2022,6.3
1050,MA,Hampshire County,Huntington,5/31/2022,7.4
1053,MA,Hampshire County,Northampton,5/31/2022,6.2
1054,MA,Franklin County,Leverett,5/31/2022,5.9
1056,MA,Hampden County,Ludlow,5/31/2022,5.2
1057,MA,Hampden County,Monson,5/31/2022,4.6
