RegionID,SizeRank,StateName,Lstate,Value,Date
1,22,Alabama,AL,55431,9/1/2013
1,22,Alabama,AL,56839,10/1/2014
1,22,Alabama,AL,37596,1/1/1996
1,22,Alabama,AL,37679,2/1/1996
1,22,Alabama,AL,37743,3/1/1996
1,22,Alabama,AL,37838,4/1/1996
1,22,Alabama,AL,37913,5/1/1996
1,22,Alabama,AL,38001,6/1/1996
1,22,Alabama,AL,38122,7/1/1996
1,22,Alabama,AL,38243,8/1/1996
1,22,Alabama,AL,38346,9/1/1996
1,22,Alabama,AL,38414,10/1/1996
1,22,Alabama,AL,38485,11/1/1996
1,22,Alabama,AL,38590,12/1/1996
1,22,Alabama,AL,38677,1/1/1997
1,22,Alabama,AL,38746,2/1/1997
1,22,Alabama,AL,38806,3/1/1997
1,22,Alabama,AL,38981,4/1/1997
1,22,Alabama,AL,39193,5/1/1997
1,22,Alabama,AL,39399,6/1/1997
1,22,Alabama,AL,39555,7/1/1997
1,22,Alabama,AL,39724,8/1/1997
1,22,Alabama,AL,39917,9/1/1997
1,22,Alabama,AL,40197,10/1/1997
1,22,Alabama,AL,40481,11/1/1997
1,22,Alabama,AL,40739,12/1/1997
1,22,Alabama,AL,41003,1/1/1998
1,22,Alabama,AL,41257,2/1/1998
1,22,Alabama,AL,41513,3/1/1998
1,22,Alabama,AL,41688,4/1/1998
1,22,Alabama,AL,41856,5/1/1998
1,22,Alabama,AL,42034,6/1/1998
1,22,Alabama,AL,42238,7/1/1998
1,22,Alabama,AL,42431,8/1/1998
1,22,Alabama,AL,42644,9/1/1998
1,22,Alabama,AL,42800,10/1/1998
1,22,Alabama,AL,42934,11/1/1998
1,22,Alabama,AL,43033,12/1/1998
1,22,Alabama,AL,43188,1/1/1999
1,22,Alabama,AL,43354,2/1/1999
1,22,Alabama,AL,43554,3/1/1999
1,22,Alabama,AL,43719,4/1/1999
1,22,Alabama,AL,43891,5/1/1999
1,22,Alabama,AL,44031,6/1/1999
1,22,Alabama,AL,44167,7/1/1999
1,22,Alabama,AL,44308,8/1/1999
1,22,Alabama,AL,44462,9/1/1999
1,22,Alabama,AL,44606,10/1/1999
1,22,Alabama,AL,44803,11/1/1999
1,22,Alabama,AL,45010,12/1/1999
1,22,Alabama,AL,45192,1/1/2000
1,22,Alabama,AL,45361,2/1/2000
1,22,Alabama,AL,45508,3/1/2000
1,22,Alabama,AL,45709,4/1/2000
1,22,Alabama,AL,45897,5/1/2000
1,22,Alabama,AL,46103,6/1/2000
1,22,Alabama,AL,46278,7/1/2000
1,22,Alabama,AL,46454,8/1/2000
1,22,Alabama,AL,46611,9/1/2000
1,22,Alabama,AL,46781,10/1/2000
1,22,Alabama,AL,46962,11/1/2000
1,22,Alabama,AL,47182,12/1/2000
1,22,Alabama,AL,47434,1/1/2001
1,22,Alabama,AL,47619,2/1/2001
1,22,Alabama,AL,47795,3/1/2001
1,22,Alabama,AL,47920,4/1/2001
1,22,Alabama,AL,48059,5/1/2001
1,22,Alabama,AL,48190,6/1/2001
1,22,Alabama,AL,48350,7/1/2001
1,22,Alabama,AL,48490,8/1/2001
1,22,Alabama,AL,48642,9/1/2001
1,22,Alabama,AL,48809,10/1/2001
1,22,Alabama,AL,48943,11/1/2001
1,22,Alabama,AL,49019,12/1/2001
1,22,Alabama,AL,49043,1/1/2002
1,22,Alabama,AL,49127,2/1/2002
1,22,Alabama,AL,49201,3/1/2002
1,22,Alabama,AL,49289,4/1/2002
1,22,Alabama,AL,49379,5/1/2002
1,22,Alabama,AL,49498,6/1/2002
1,22,Alabama,AL,49594,7/1/2002
1,22,Alabama,AL,49682,8/1/2002
1,22,Alabama,AL,49763,9/1/2002
1,22,Alabama,AL,49850,10/1/2002
1,22,Alabama,AL,49937,11/1/2002
1,22,Alabama,AL,50045,12/1/2002
1,22,Alabama,AL,50182,1/1/2003
1,22,Alabama,AL,50332,2/1/2003
1,22,Alabama,AL,50489,3/1/2003
1,22,Alabama,AL,50670,4/1/2003
1,22,Alabama,AL,50816,5/1/2003
1,22,Alabama,AL,50906,6/1/2003
1,22,Alabama,AL,50993,7/1/2003
1,22,Alabama,AL,51097,8/1/2003
1,22,Alabama,AL,51229,9/1/2003
1,22,Alabama,AL,51304,10/1/2003
1,22,Alabama,AL,51374,11/1/2003
1,22,Alabama,AL,51446,12/1/2003
1,22,Alabama,AL,51560,1/1/2004
1,22,Alabama,AL,51692,2/1/2004
1,22,Alabama,AL,51853,3/1/2004
1,22,Alabama,AL,52005,4/1/2004
1,22,Alabama,AL,52196,5/1/2004
1,22,Alabama,AL,52420,6/1/2004
1,22,Alabama,AL,52697,7/1/2004
1,22,Alabama,AL,52958,8/1/2004
1,22,Alabama,AL,53209,9/1/2004
1,22,Alabama,AL,53458,10/1/2004
1,22,Alabama,AL,53740,11/1/2004
1,22,Alabama,AL,54037,12/1/2004
1,22,Alabama,AL,54300,1/1/2005
1,22,Alabama,AL,54498,2/1/2005
1,22,Alabama,AL,54649,3/1/2005
1,22,Alabama,AL,54805,4/1/2005
1,22,Alabama,AL,54991,5/1/2005
1,22,Alabama,AL,55222,6/1/2005
1,22,Alabama,AL,55460,7/1/2005
1,22,Alabama,AL,55713,8/1/2005
1,22,Alabama,AL,55979,9/1/2005
1,22,Alabama,AL,56345,10/1/2005
1,22,Alabama,AL,56793,11/1/2005
1,22,Alabama,AL,57248,12/1/2005
1,22,Alabama,AL,57710,1/1/2006
1,22,Alabama,AL,58155,2/1/2006
1,22,Alabama,AL,58638,3/1/2006
1,22,Alabama,AL,59108,4/1/2006
1,22,Alabama,AL,59594,5/1/2006
1,22,Alabama,AL,60060,6/1/2006
1,22,Alabama,AL,60504,7/1/2006
1,22,Alabama,AL,60941,8/1/2006
1,22,Alabama,AL,61340,9/1/2006
1,22,Alabama,AL,61679,10/1/2006
1,22,Alabama,AL,61900,11/1/2006
1,22,Alabama,AL,62131,12/1/2006
1,22,Alabama,AL,62331,1/1/2007
1,22,Alabama,AL,62634,2/1/2007
1,22,Alabama,AL,62929,3/1/2007
1,22,Alabama,AL,63265,4/1/2007
1,22,Alabama,AL,63429,5/1/2007
1,22,Alabama,AL,63501,6/1/2007
1,22,Alabama,AL,63502,7/1/2007
1,22,Alabama,AL,63562,8/1/2007
1,22,Alabama,AL,63612,9/1/2007
1,22,Alabama,AL,63650,10/1/2007
1,22,Alabama,AL,63620,11/1/2007
1,22,Alabama,AL,63575,12/1/2007
1,22,Alabama,AL,63487,1/1/2008
1,22,Alabama,AL,63388,2/1/2008
1,22,Alabama,AL,63271,3/1/2008
1,22,Alabama,AL,63145,4/1/2008
1,22,Alabama,AL,63089,5/1/2008
1,22,Alabama,AL,63095,6/1/2008
1,22,Alabama,AL,63118,7/1/2008
1,22,Alabama,AL,63024,8/1/2008
1,22,Alabama,AL,62903,9/1/2008
1,22,Alabama,AL,62714,10/1/2008
1,22,Alabama,AL,62607,11/1/2008
1,22,Alabama,AL,62397,12/1/2008
1,22,Alabama,AL,62183,1/1/2009
1,22,Alabama,AL,61862,2/1/2009
1,22,Alabama,AL,61564,3/1/2009
1,22,Alabama,AL,61219,4/1/2009
1,22,Alabama,AL,60885,5/1/2009
1,22,Alabama,AL,60514,6/1/2009
1,22,Alabama,AL,60192,7/1/2009
1,22,Alabama,AL,59908,8/1/2009
1,22,Alabama,AL,59647,9/1/2009
1,22,Alabama,AL,59425,10/1/2009
1,22,Alabama,AL,59245,11/1/2009
1,22,Alabama,AL,59141,12/1/2009
1,22,Alabama,AL,59094,1/1/2010
1,22,Alabama,AL,59027,2/1/2010
1,22,Alabama,AL,58843,3/1/2010
1,22,Alabama,AL,58634,4/1/2010
1,22,Alabama,AL,58401,5/1/2010
1,22,Alabama,AL,58196,6/1/2010
1,22,Alabama,AL,57919,7/1/2010
1,22,Alabama,AL,57641,8/1/2010
1,22,Alabama,AL,57389,9/1/2010
1,22,Alabama,AL,57175,10/1/2010
1,22,Alabama,AL,56888,11/1/2010
1,22,Alabama,AL,56557,12/1/2010
