RegionID,SizeRank,StateName,Lstate,Value,Date
1,22,Alabama,AL,118580,9/1/2013
1,22,Alabama,AL,121294,10/1/2014
1,22,Alabama,AL,85994,1/1/1996
1,22,Alabama,AL,86100,2/1/1996
1,22,Alabama,AL,86186,3/1/1996
1,22,Alabama,AL,86308,4/1/1996
1,22,Alabama,AL,86375,5/1/1996
1,22,Alabama,AL,86480,6/1/1996
1,22,Alabama,AL,86627,7/1/1996
1,22,Alabama,AL,86845,8/1/1996
1,22,Alabama,AL,86975,9/1/1996
1,22,Alabama,AL,87103,10/1/1996
1,22,Alabama,AL,87201,11/1/1996
1,22,Alabama,AL,87387,12/1/1996
1,22,Alabama,AL,87489,1/1/1997
1,22,Alabama,AL,87609,2/1/1997
1,22,Alabama,AL,87726,3/1/1997
1,22,Alabama,AL,88074,4/1/1997
1,22,Alabama,AL,88516,5/1/1997
1,22,Alabama,AL,88952,6/1/1997
1,22,Alabama,AL,89294,7/1/1997
1,22,Alabama,AL,89604,8/1/1997
1,22,Alabama,AL,90007,9/1/1997
1,22,Alabama,AL,90460,10/1/1997
1,22,Alabama,AL,90954,11/1/1997
1,22,Alabama,AL,91396,12/1/1997
1,22,Alabama,AL,91973,1/1/1998
1,22,Alabama,AL,92466,2/1/1998
1,22,Alabama,AL,92937,3/1/1998
1,22,Alabama,AL,93207,4/1/1998
1,22,Alabama,AL,93467,5/1/1998
1,22,Alabama,AL,93718,6/1/1998
1,22,Alabama,AL,94103,7/1/1998
1,22,Alabama,AL,94408,8/1/1998
1,22,Alabama,AL,94804,9/1/1998
1,22,Alabama,AL,95147,10/1/1998
1,22,Alabama,AL,95493,11/1/1998
1,22,Alabama,AL,95746,12/1/1998
1,22,Alabama,AL,96024,1/1/1999
1,22,Alabama,AL,96341,2/1/1999
1,22,Alabama,AL,96700,3/1/1999
1,22,Alabama,AL,96974,4/1/1999
1,22,Alabama,AL,97306,5/1/1999
1,22,Alabama,AL,97574,6/1/1999
1,22,Alabama,AL,97805,7/1/1999
1,22,Alabama,AL,98079,8/1/1999
1,22,Alabama,AL,98357,9/1/1999
1,22,Alabama,AL,98661,10/1/1999
1,22,Alabama,AL,99030,11/1/1999
1,22,Alabama,AL,99383,12/1/1999
1,22,Alabama,AL,99666,1/1/2000
1,22,Alabama,AL,99930,2/1/2000
1,22,Alabama,AL,100201,3/1/2000
1,22,Alabama,AL,100593,4/1/2000
1,22,Alabama,AL,100941,5/1/2000
1,22,Alabama,AL,101337,6/1/2000
1,22,Alabama,AL,101656,7/1/2000
1,22,Alabama,AL,101982,8/1/2000
1,22,Alabama,AL,102285,9/1/2000
1,22,Alabama,AL,102608,10/1/2000
1,22,Alabama,AL,102945,11/1/2000
1,22,Alabama,AL,103376,12/1/2000
21,462,Alabama,AL,2638793,1/1/2021
21,462,Alabama,AL,2644660,2/1/2021
21,462,Alabama,AL,2650634,3/1/2021
21,462,Alabama,AL,2656772,4/1/2021
21,462,Alabama,AL,2663083,5/1/2021
20,440,Alabama,AL,2500499,6/1/2021
20,440,Alabama,AL,2505092,7/1/2021
20,440,Alabama,AL,2509825,8/1/2021
19,418,Alabama,AL,2396060,9/1/2021
19,418,Alabama,AL,2398279,10/1/2021
20,440,Alabama,AL,2524585,11/1/2021
20,440,Alabama,AL,2529712,12/1/2021
1,46,Alaska,AK,259698,9/1/2013
1,46,Alaska,AK,266713,10/1/2014
1,46,Alaska,AK,112165,1/1/1996
1,46,Alaska,AK,112551,2/1/1996
1,46,Alaska,AK,112885,3/1/1996
1,46,Alaska,AK,113589,4/1/1996
1,46,Alaska,AK,114086,5/1/1996
1,46,Alaska,AK,114546,6/1/1996
1,46,Alaska,AK,114891,7/1/1996
1,46,Alaska,AK,115143,8/1/1996
1,46,Alaska,AK,115272,9/1/1996
1,46,Alaska,AK,115224,10/1/1996
1,46,Alaska,AK,115151,11/1/1996
1,46,Alaska,AK,115141,12/1/1996
