RegionID,SizeRank,StateName,Lstate,Value,Date
1,22,Alabama,AL,223521,9/1/2013
1,22,Alabama,AL,228552,10/1/2014
1,22,Alabama,AL,164743,1/1/1996
1,22,Alabama,AL,164890,2/1/1996
1,22,Alabama,AL,165036,3/1/1996
1,22,Alabama,AL,165200,4/1/1996
1,22,Alabama,AL,165354,5/1/1996
1,22,Alabama,AL,165517,6/1/1996
1,22,Alabama,AL,165808,7/1/1996
1,22,Alabama,AL,166212,8/1/1996
1,22,Alabama,AL,166570,9/1/1996
1,22,Alabama,AL,166901,10/1/1996
1,22,Alabama,AL,167141,11/1/1996
1,22,Alabama,AL,167471,12/1/1996
1,22,Alabama,AL,167800,1/1/1997
1,22,Alabama,AL,168147,2/1/1997
1,22,Alabama,AL,168538,3/1/1997
1,22,Alabama,AL,169215,4/1/1997
1,22,Alabama,AL,169981,5/1/1997
1,22,Alabama,AL,170756,6/1/1997
1,22,Alabama,AL,171380,7/1/1997
1,22,Alabama,AL,171919,8/1/1997
1,22,Alabama,AL,172550,9/1/1997
1,22,Alabama,AL,173279,10/1/1997
1,22,Alabama,AL,174226,11/1/1997
1,22,Alabama,AL,175129,12/1/1997
1,22,Alabama,AL,176130,1/1/1998
1,22,Alabama,AL,177025,2/1/1998
1,22,Alabama,AL,177795,3/1/1998
1,22,Alabama,AL,178347,4/1/1998
1,22,Alabama,AL,178865,5/1/1998
1,22,Alabama,AL,179485,6/1/1998
1,22,Alabama,AL,180172,7/1/1998
1,22,Alabama,AL,180786,8/1/1998
1,22,Alabama,AL,181423,9/1/1998
1,22,Alabama,AL,182040,10/1/1998
1,22,Alabama,AL,182497,11/1/1998
1,22,Alabama,AL,182888,12/1/1998
1,22,Alabama,AL,183165,1/1/1999
1,22,Alabama,AL,183560,2/1/1999
1,22,Alabama,AL,184023,3/1/1999
1,22,Alabama,AL,184533,4/1/1999
1,22,Alabama,AL,185048,5/1/1999
1,22,Alabama,AL,185448,6/1/1999
1,22,Alabama,AL,185833,7/1/1999
1,22,Alabama,AL,186329,8/1/1999
1,22,Alabama,AL,186885,9/1/1999
1,22,Alabama,AL,187411,10/1/1999
1,22,Alabama,AL,188082,11/1/1999
1,22,Alabama,AL,188718,12/1/1999
1,22,Alabama,AL,189354,1/1/2000
1,22,Alabama,AL,189925,2/1/2000
1,22,Alabama,AL,190482,3/1/2000
1,22,Alabama,AL,191154,4/1/2000
1,22,Alabama,AL,191802,5/1/2000
1,22,Alabama,AL,192519,6/1/2000
1,22,Alabama,AL,193176,7/1/2000
1,22,Alabama,AL,193797,8/1/2000
1,22,Alabama,AL,194353,9/1/2000
1,22,Alabama,AL,194906,10/1/2000
1,22,Alabama,AL,195580,11/1/2000
