RegionID,SizeRank,StateName,StateAbbrev,jan1996,feb1996,mar1996,april1996,may1996,june1996,july1996,aug1996,sep1996,oct1996,nov1996,dec1996,jan1997,feb1997,mar1997,april1997,may1997,june1997,july1997,aug1997,sep1997,oct1997,nov1997,dec1997,jan1998,feb1998,mar1998,april1998,may1998,june1998,july1998,aug1998,sep1998,oct1998,nov1998,dec1998,jan1999,feb1999,mar1999,april1999,may1999,june1999,july1999,aug1999,sep1999,oct1999,nov1999,dec1999,jan2000,feb2000,mar2000,april2000,may2000,june2000,july2000,aug2000,sep2000,oct2000,nov2000,dec2000,jan2001,feb2001,mar2001,april2001,may2001,june2001,july2001,aug2001,sep2001,oct2001,nov2001,dec2001,jan2002,feb2002,mar2002,april2002,may2002,june2002,july2002,aug2002,sep2002,oct2002,nov2002,dec2002,jan2003,feb2003,mar2003,april2003,may2003,june2003,july2003,aug2003,sep2003,oct2003,nov2003,dec2003,jan2004,feb2004,mar2004,april2004,may2004,june2004,july2004,aug2004,sep2004,oct2004,nov2004,dec2004,jan2005,feb2005,mar2005,april2005,may2005,june2005,july2005,aug2005,sep2005,oct2005,nov2005,dec2005,jan2006,feb2006,mar2006,april2006,may2006,june2006,july2006,aug2006,sep2006,oct2006,nov2006,dec2006,jan2007,feb2007,mar2007,april2007,may2007,june2007,july2007,aug2007,sep2007,oct2007,nov2007,dec2007,jan2008,feb2008,mar2008,april2008,may2008,june2008,july2008,aug2008,sep2008,oct2008,nov2008,dec2008,jan2009,feb2009,mar2009,april2009,may2009,june2009,july2009,aug2009,sep2009,oct2009,nov2009,dec2009,jan2010,feb2010,mar2010,april2010,may2010,june2010,july2010,aug2010,sep2010,oct2010,nov2010,dec2010,jan2011,feb2011,mar2011,april2011,may2011,june2011,july2011,aug2011,sep2011,oct2011,nov2011,dec2011,jan2012,feb2012,mar2012,april2012,may2012,june2012,july2012,aug2012,sep2012,oct2012,nov2012,dec2012,jan2013,feb2013,mar2013,april2013,may2013,june2013,july2013,aug2013,sep213,oct2013,nov2013,dec2013,jan2014,feb2014,mar2014,april2014,may2014,june2014,july2014,aug2014,sep2014,oct214,nov2014,dec2014,jan2015,feb2015,mar2015,april2015,may2015,june2015,july2015,aug2015,sep2015,oct2015,nov2015,dec2015,jan2016,feb2016,mar2016,april2016,may2016,june2016,july2016,aug2016,sep2016,oct2016,nov2016,dec2016,jan2017,feb2017,mar2017,april2017,may2017,june2017,july2017,aug2017,sep2017,oct2017,nov2017,dec2017,jan2018,feb2018,mar2018,april2018,may2018,june2018,july2018,aug2018,sep2018,oct2018,nov2018,dec2018,jan2019,feb2019,mar2019,april2019,may2019,june2019,july2019,aug2019,sep2019,oct2019,nov2019,dec2019,jan2020,feb2020,mar2020,april2020,may2020,june2020,july2020,aug2020,sep2020,oct2020,nov2020,dec2020,jan2021,feb2021,mar2021,april2021,may2021
9,0,California,CA,95053,94881,94773,94560,94412,94295,94207,94175,94168,94243,94333,94464,94453,94492,94566,94816,95109,95417,95811,96230,96712,97133,97632,98202,99016,99902,100763,101476,102121,102789,103392,104025,104691,105411,106061,106628,107287,108026,108803,109508,110226,111052,111937,112736,113487,114338,115373,116490,117577,118596,119631,120750,121967,123227,124524,125924,127402,128853,130314,131790,133245,134730,136296,137949,139481,140889,142168,143406,144614,145860,147091,148377,149663,151092,152536,154085,155708,157579,159691,161944,164231,166566,169060,171558,174011,176230,178533,180862,183330,185503,187791,190272,193073,195917,198930,202012,205471,209138,213055,217038,221544,226584,231763,236755,241569,246373,250913,255594,260013,264842,269438,274392,278712,282967,287137,291415,295769,299946,303498,306595,309172,311215,313330,314909,316676,317609,318070,317965,317223,316099,315136,313953,312889,311667,310349,308879,306493,303832,300741,297577,294035,289866,285426,280708,275850,269900,262866,255452,248342,241705,234978,228431,222248,216735,210876,205258,199904,196330,193251,190488,187837,185881,184585,183635,182854,182554,183121,183993,184804,184742,185197,185702,186592,186472,186006,185280,184710,183879,182773,181729,180717,179778,178493,177228,175571,174420,173541,172770,171972,171046,170602,170003,169735,169625,169903,170495,171429,172561,173892,175633,177607,179908,182113,184985,187956,191363,195143,199311,203770,208360,212996,217341,221422,225197,228807,231950,234929,237502,239262,240394,241265,242194,243242,244089,245068,246104,247515,248620,249829,251233,253145,254903,256573,257940,259165,260671,262408,264327,265918,268029,269934,271586,272806,274440,276136,277845,279528,281425,283212,285063,286846,288437,290097,291828,293837,295712,297674,299920,301872,303787,305730,307947,310356,312885,315508,318203,320528,322513,324484,326298,327846,328700,329220,329556,330026,330147,330474,330479,330897,331750,332947,334286,334878,335245,335406,336092,336960,338483,340371,342908,345818,348246,348941,349149,350554,353972,358098,362344,366927,371793,376933,382458,388370,395453,404829
54,1,Texas,TX,54251,54289,54317,54421,54516,54607,54670,54767,54879,55020,55170,55329,55355,55359,55368,55461,55547,55647,55759,55873,55994,56129,56269,56420,56731,57032,57327,57416,57559,57695,57898,58048,58197,58264,58313,58342,58475,58758,59144,59590,60003,60413,60790,61124,61400,61721,62066,62406,62634,62797,62888,62978,62978,62985,62984,63087,63211,63324,63474,63656,63793,63794,63719,63682,63747,63803,63855,63870,63929,64011,64051,64087,64118,64251,64427,64664,64901,65189,65479,65759,66002,66227,66489,66737,66918,66982,67006,67041,67119,67257,67398,67590,67758,67959,68137,68342,68712,69324,70111,70797,71341,71711,72112,72481,72899,73292,73658,74019,74408,74692,74895,75035,75222,75457,75683,75922,76141,76311,76539,76750,77008,77288,77580,77863,78201,78555,78925,79240,79584,79996,80364,80710,80975,81173,81320,81542,81762,82007,82166,82434,82690,82908,83060,83176,83073,82863,82587,82403,82197,81994,81832,81593,81298,80988,80663,80365,80176,80139,80142,80063,79956,79843,79784,79702,79641,79572,79660,79738,79798,79786,79781,79813,79822,79764,79518,79247,78958,78727,78434,78181,77916,77605,77281,76961,76689,76449,76342,76311,76354,76360,76302,76216,76214,76348,76537,76692,76875,77074,77330,77560,77736,77897,78149,78484,78884,79263,79709,80208,80708,81197,81689,82207,82793,83410,84030,84581,85093,85612,86072,86505,86971,87519,88048,88624,89203,89808,90399,90999,91587,92180,92807,93479,94107,94733,95330,95917,96439,97004,97507,98040,98584,99126,99672,100201,100818,101405,102055,102633,103262,103839,104550,105284,105956,106604,107174,107783,108310,108839,109319,109798,110301,110869,111459,112032,112567,113121,113764,114449,115128,115782,116389,117003,117513,118093,118618,119248,119922,120584,121139,121569,122015,122480,122959,123444,123870,124054,124227,124426,124937,125378,126011,126524,127006,127405,127959,128741,129708,130932,132318,133780,135138,136725,138381,140395,142658
43,2,New York,NY,64020,63872,63784,63651,63610,63590,63550,63494,63451,63444,63452,63489,63465,63587,63714,63873,63915,63958,64079,64211,64352,64446,64642,64832,65206,65410,65615,65650,65751,65864,65916,66102,66320,66661,66847,67054,67154,67378,67606,67964,68344,68759,69330,69799,70267,70585,70958,71293,71619,72069,72595,73196,73732,74252,74632,74964,75271,75669,76143,76640,77158,77592,78024,78428,78884,79345,79842,80346,80847,81355,81880,82435,82984,83505,83971,84467,84977,85491,86005,86513,87039,87562,88147,88778,89418,90059,90798,91463,92091,92686,93331,94138,94997,95851,96495,97091,97737,98432,99035,99686,100400,101238,102033,102734,103372,104024,104816,105595,106374,107166,107974,108812,109607,110350,111140,111943,112838,113727,114583,115436,116180,116865,117492,118077,118628,119161,119619,120016,120293,120523,120696,120872,121026,121174,121305,121409,121562,121718,121927,122134,122322,122567,122809,122961,123086,123055,123028,122867,122666,122358,121956,121586,121222,120750,120190,119666,119195,118815,118432,118104,117761,117393,117082,116832,116685,116661,116704,116758,116730,116760,116805,116997,117137,117393,117517,117411,117132,116750,116468,116160,116001,115786,115593,115189,114796,114312,113970,113797,113735,113695,113532,113396,113229,113095,112968,112924,112958,113032,113161,113284,113409,113492,113650,113857,114047,114266,114465,114765,115070,115423,115702,115945,116166,116485,116791,117085,117391,117707,118055,118296,118477,118606,118731,118891,119059,119243,119470,119726,119970,120110,120202,120365,120612,120931,121275,121623,121973,122253,122469,122603,122759,123144,123634,124112,124493,124791,125102,125442,125811,126266,126733,127336,127872,128258,128575,129021,129602,130280,130874,131399,131907,132432,133045,133599,134231,134870,135521,136085,136620,137197,137885,138633,139346,139920,140403,140822,141336,141864,142526,143088,143653,144082,144337,144544,144651,144808,145020,145414,145983,146596,147266,147981,148515,149063,149799,150865,152136,153559,155111,156721,158299,160027,161841,163904,166351
14,3,Florida,FL,58333,58399,58468,58600,58725,58863,58997,59117,59204,59295,59401,59528,59549,59595,59652,59842,60024,60189,60347,60516,60704,60871,61059,61252,61670,62023,62336,62413,62530,62618,62740,62909,63188,63515,63756,63942,64002,64141,64308,64581,64853,65224,65611,65960,66200,66414,66707,67027,67373,67716,68103,68524,68935,69318,69682,70054,70463,70894,71356,71837,72334,72854,73385,73926,74472,75022,75621,76237,76899,77565,78222,78866,79491,80088,80671,81262,81888,82539,83190,83873,84538,85246,85971,86798,87661,88576,89481,90398,91282,92118,92928,93740,94654,95670,96769,97842,98945,100076,101265,102431,103721,105150,106751,108494,110298,112123,113945,115903,117978,120164,122429,124868,127489,130333,133388,136492,139593,142530,145381,148085,150601,152855,155130,157428,159489,161103,162132,162835,163068,163108,162968,162597,162162,161592,160814,159686,158333,156719,154928,153057,151244,149390,147373,145233,142853,140448,137886,135398,132739,130220,127668,125075,122501,119858,117139,114526,112047,109771,107530,105261,103201,101297,99763,98383,97131,96092,95409,94793,94275,93696,93271,92891,92495,91959,91247,90401,89488,88490,87453,86471,85493,84596,83671,82827,82021,81392,80820,80433,80147,80018,79949,79906,79926,79981,80182,80486,80860,81281,81777,82341,82945,83593,84255,85034,85933,86951,87980,89054,90231,91435,92729,94053,95381,96565,97711,98767,99766,100642,101498,102212,102871,103428,103986,104413,104921,105590,106343,107093,107791,108533,109284,110034,110816,111629,112398,113261,114174,115106,115946,116843,117816,118852,119766,120697,121584,122594,123647,124668,125571,126406,127342,128268,129201,130069,130987,131991,132999,133987,134907,135903,136886,137879,138785,139687,140423,141250,142197,143234,144290,145224,146115,146904,147689,148421,149182,149992,150767,151346,151739,152080,152372,152830,153434,153930,154293,154663,155179,155743,156466,157440,158529,159555,160227,160820,161430,162595,164004,165599,167274,169092,171054,173127,175429,178067,181330
21,4,Illinois,IL,64411,64417,64386,64444,64423,64493,64502,64896,65418,66272,66334,66244,65886,66085,66342,66477,66730,66840,66949,66298,65365,63865,63790,64113,65034,65129,65253,65398,65551,65698,66019,66771,67829,69175,69937,70414,70465,70787,71112,71506,71850,72346,72853,73323,73656,74032,74309,74623,75026,75610,76201,76722,77215,77679,78111,78602,79093,79590,80088,80620,81120,81571,82026,82519,83086,83626,84138,84607,85119,85649,86193,86664,87128,87591,88131,88603,89085,89536,90064,90602,91110,91607,92050,92572,93068,93614,94089,94606,95041,95476,95889,96419,97047,97675,98220,98705,99266,99864,100476,101131,101842,102624,103370,104020,104554,105120,105809,106557,107234,107885,108541,109238,109933,110647,111371,112086,112877,113639,114348,114998,115603,116219,116755,117257,117673,118039,118339,118670,118911,119127,119288,119511,119800,120103,120112,120126,119860,119814,119529,119465,119219,119100,118858,118553,118196,117320,116996,116057,115819,114795,114290,113153,112481,111370,110462,109130,107808,106768,105651,104738,103545,102595,101871,101265,100473,99860,99354,99294,99039,98872,98244,98209,97749,97755,96777,96227,95409,94907,93939,93113,92257,91634,91006,90087,89396,88493,88228,87674,87341,86437,85925,85154,84734,83959,83746,83455,83394,83143,82814,82498,82197,82317,82563,82812,83105,83488,83767,84174,84443,84974,85466,86212,86894,87666,88057,88574,88883,89338,89555,89709,89985,90399,90814,91085,91409,91614,91952,92199,92443,92567,92873,93273,93687,93846,94052,94215,94406,94560,94738,94999,95314,95855,96334,96766,97069,97447,97860,98254,98594,98964,99404,99875,100393,100771,101199,101614,102029,102388,102710,103115,103558,104029,104488,104974,105435,105825,106093,106337,106649,106992,107274,107491,107711,107882,108059,108187,108352,108599,108902,109214,109515,109784,109972,110071,109971,109883,109816,109896,110195,110375,110705,110887,111131,111359,111769,112374,113186,114081,115042,116003,116881,117948,119017,120343,121756
47,5,Pennsylvania,PA,51118,51085,51052,51002,50959,50944,50940,50970,51001,51056,51126,51218,51290,51360,51448,51567,51706,51831,51967,52032,52106,52151,52247,52354,52510,52668,52813,52910,53001,53085,53168,53332,53515,53734,53848,53920,53979,54071,54186,54326,54452,54600,54746,54884,55032,55171,55361,55574,55808,56080,56349,56622,56901,57159,57413,57620,57848,58079,58353,58642,58941,59205,59474,59746,59992,60238,60486,60759,61024,61287,61597,61900,62216,62523,62866,63213,63552,63864,64205,64615,65042,65498,65886,66300,66720,67160,67592,68035,68509,69022,69495,69940,70399,70895,71370,71833,72258,72852,73422,73990,74548,75155,75863,76529,77210,77827,78517,79228,80014,80605,81237,81912,82678,83445,84200,85026,85819,86577,87288,87963,88567,89118,89632,90160,90682,91223,91664,92041,92346,92649,92908,93168,93448,93745,94046,94240,94422,94521,94699,94865,95006,95115,95210,95299,95307,95271,95117,94957,94704,94435,94079,93720,93419,93153,92848,92464,92047,91763,91535,91355,91165,91037,90974,90910,90875,90893,91033,91214,91435,91569,91704,91831,91920,91937,91809,91587,91228,90806,90325,89865,89451,89076,88730,88289,87848,87374,87021,86774,86655,86536,86392,86216,86022,85822,85653,85558,85523,85495,85452,85430,85392,85399,85425,85527,85643,85757,85837,85968,86137,86375,86612,86808,86999,87161,87346,87466,87601,87754,87905,87976,88009,88094,88245,88386,88488,88580,88694,88849,88979,89075,89247,89498,89818,89998,90112,90236,90441,90671,90870,91009,91252,91572,91804,91961,92033,92304,92582,92910,93161,93442,93765,94184,94451,94696,94928,95342,95793,96217,96643,97066,97540,98027,98481,98935,99484,100054,100790,101404,101997,102380,102739,103055,103400,103714,104076,104435,104879,105377,105791,106164,106627,107177,107689,108075,108364,108664,108932,109275,109666,110194,110834,111544,112014,112516,113154,114138,115271,116518,117899,119357,120869,122403,124032,125844,128024
44,6,Ohio,OH,48757,48822,48907,49083,49264,49430,49580,49749,49922,50090,50258,50430,50601,50772,50939,51109,51289,51487,51699,51886,52068,52255,52455,52663,52893,53146,53387,53598,53805,54027,54278,54527,54783,55052,55307,55530,55714,55912,56134,56356,56539,56715,56892,57100,57313,57536,57763,58028,58330,58632,58898,59176,59496,59824,60111,60370,60632,60884,61146,61405,61656,61882,62114,62340,62549,62737,62942,63159,63370,63574,63765,63937,64092,64239,64406,64577,64761,64939,65121,65286,65443,65607,65794,65994,66201,66413,66608,66803,66988,67195,67409,67659,67919,68172,68378,68581,68762,68969,69179,69392,69613,69814,70027,70194,70361,70529,70728,70932,71172,71412,71654,71874,72064,72262,72436,72633,72813,73000,73193,73369,73501,73581,73654,73725,73803,73863,73926,73972,73975,73975,73949,73922,73878,73866,73780,73672,73517,73374,73193,73011,72879,72728,72515,72294,72100,71877,71675,71408,71157,70872,70637,70381,70094,69718,69405,69026,68631,68170,67763,67443,67165,66892,66610,66357,66138,66024,65901,65851,65773,65793,65715,65667,65570,65469,65230,64935,64605,64269,63913,63519,63190,62842,62571,62194,61845,61509,61312,61155,61001,60822,60664,60539,60379,60202,60066,59992,59908,59788,59672,59604,59598,59603,59608,59620,59708,59866,60000,60155,60321,60559,60782,61021,61199,61420,61609,61777,61805,61777,61750,61767,61834,61928,62056,62134,62241,62314,62459,62647,62923,63228,63499,63744,64001,64246,64481,64693,64905,65111,65318,65497,65718,65937,66226,66492,66731,66968,67222,67523,67831,68157,68507,68901,69328,69732,70099,70463,70833,71216,71568,72000,72457,72969,73414,73837,74148,74542,74981,75547,76088,76571,77040,77406,77752,78068,78466,78906,79397,79881,80336,80698,81107,81548,82028,82421,82823,83174,83413,83714,84110,84614,85111,85650,86237,86852,87499,88315,89190,90173,91291,92415,93544,94665,95902,97235,98627
30,7,Michigan,MI,44915,45076,45223,45544,45857,46172,46455,46708,46946,47174,47438,47729,48029,48294,48584,48856,49162,49431,49742,50093,50482,50884,51251,51566,51908,52269,52620,52930,53223,53562,53922,54301,54668,55058,55419,55810,56113,56500,56861,57305,57712,58183,58635,59084,59509,59890,60284,60677,61163,61589,62044,62456,62920,63361,63832,64266,64686,65121,65604,66082,66495,66852,67204,67570,67941,68256,68560,68871,69224,69526,69795,70033,70318,70610,70923,71183,71390,71604,71800,72027,72207,72441,72672,72932,73147,73411,73605,73872,74166,74504,74818,75111,75431,75764,76073,76372,76662,76924,77219,77460,77716,77963,78254,78512,78758,78992,79245,79486,79747,79978,80226,80471,80725,80926,81084,81254,81435,81591,81709,81816,81908,82004,82055,82064,82022,81928,81877,81752,81629,81394,81135,80781,80416,80091,79802,79534,79128,78719,78185,77792,77184,76529,75771,75202,74670,73970,73071,71919,70794,69638,68432,67100,65914,65008,64128,63043,61653,60372,59125,58143,57171,56275,55607,54995,54484,53785,53241,52766,52571,52298,52142,52007,51971,51958,51716,51387,50911,50511,50061,49682,49259,48945,48538,48108,47656,47237,46911,46771,46758,46774,46767,46767,46831,46863,47051,47223,47484,47735,48093,48393,48688,49044,49473,49891,50290,50813,51404,52083,52733,53396,54098,54854,55659,56388,57069,57772,58482,59087,59549,59949,60384,60870,61289,61646,61933,62254,62582,62870,63183,63536,63984,64348,64636,64866,65144,65472,65742,65995,66304,66728,67126,67511,67781,68227,68685,69233,69748,70226,70795,71400,71986,72512,73007,73516,74086,74648,75289,75868,76375,76902,77442,78023,78619,79204,79919,80663,81442,82141,82789,83468,84139,84785,85329,85812,86231,86738,87204,87696,88088,88547,89137,89830,90374,90669,90859,91035,91289,91506,91928,92382,93117,93867,94336,94592,94967,95841,96907,98086,99327,100661,101937,103297,104614,106065,107868
16,8,Georgia,GA,54930,55028,55127,55338,55549,55768,55974,56178,56381,56598,56829,57077,57266,57478,57708,58002,58281,58540,58821,59130,59470,59792,60110,60426,60902,61337,61730,61962,62256,62594,62943,63291,63616,63972,64318,64663,64911,65198,65527,65953,66355,66760,67179,67561,67948,68315,68697,69048,69373,69761,70189,70675,71115,71548,71969,72422,72875,73333,73817,74361,74941,75399,75798,76130,76519,76880,77238,77597,77949,78290,78595,78875,79125,79410,79680,79965,80245,80545,80830,81055,81270,81497,81734,81935,82144,82371,82630,82845,83017,83174,83358,83592,83837,84070,84300,84561,84845,85143,85444,85770,86092,86389,86675,86985,87317,87677,88022,88363,88660,88926,89190,89514,89921,90365,90788,91172,91558,91921,92316,92671,93064,93448,93813,94111,94366,94647,94967,95284,95575,95853,96125,96412,96689,96967,97248,97487,97637,97705,97707,97674,97556,97411,97242,97077,96768,96311,95736,95215,94722,94169,93539,92846,92167,91368,90380,89224,88156,87161,86189,85038,83895,82830,81959,81204,80521,79880,79385,79037,78661,78265,77893,77762,77695,77536,77070,76396,75562,74815,74020,73356,72644,72073,71338,70510,69539,68687,68049,67686,67553,67447,67320,66977,66731,66465,66547,66694,66971,67249,67587,67839,67989,68147,68508,69014,69658,70327,70976,71581,72252,72976,73692,74470,75291,76151,76896,77669,78325,78978,79498,80044,80507,80959,81417,81866,82334,82770,83195,83583,83939,84284,84650,85055,85548,86046,86514,86940,87360,87728,88117,88509,89016,89515,90049,90582,91071,91510,91884,92263,92577,93010,93500,94058,94544,95046,95586,96134,96681,97291,97987,98715,99565,100374,101223,102052,102868,103671,104367,105135,105950,106791,107606,108366,109088,109790,110473,111123,111777,112359,113056,113678,114279,114745,115207,115754,116277,116750,116991,117277,117713,118446,119190,119877,120361,120916,121566,122401,123332,124420,125812,127316,128842,130317,131906,133743,135946
36,9,North Carolina,NC,59003,59156,59292,59562,59811,60089,60380,60692,60960,61254,61560,61889,62201,62490,62802,63127,63446,63716,63969,64240,64572,64849,65118,65371,65703,66005,66283,66523,66846,67195,67539,67802,68064,68366,68640,68889,69049,69269,69493,69774,70006,70211,70426,70644,70876,71090,71334,71589,71830,72131,72440,72794,73108,73443,73755,74056,74337,74610,74936,75264,75639,75885,76114,76281,76471,76642,76788,76981,77171,77390,77531,77666,77757,77887,78018,78146,78301,78452,78647,78784,78925,79033,79161,79275,79423,79576,79748,79899,80046,80170,80290,80444,80600,80763,80927,81131,81361,81589,81808,82031,82239,82477,82708,82937,83197,83480,83807,84137,84436,84775,85082,85460,85825,86254,86705,87186,87663,88167,88657,89131,89587,90034,90521,90999,91517,91995,92495,92984,93470,93919,94323,94724,95143,95517,95881,96226,96576,96936,97249,97545,97766,97918,98067,98195,98311,98354,98337,98259,98151,97976,97750,97512,97259,96999,96629,96212,95749,95389,95051,94664,94191,93701,93293,92853,92477,92154,91973,91787,91631,91387,91160,91010,90906,90770,90476,90144,89753,89393,88984,88597,88141,87710,87227,86678,86169,85747,85440,85151,84930,84642,84360,84091,83905,83760,83646,83630,83572,83487,83408,83415,83424,83459,83515,83554,83628,83705,83885,84075,84326,84616,84915,85200,85427,85684,85919,86238,86503,86772,86937,87074,87198,87302,87386,87452,87593,87757,87986,88198,88457,88718,89041,89335,89603,89852,90159,90494,90799,91074,91310,91518,91755,92039,92332,92671,93070,93551,94019,94482,94957,95428,95914,96429,96922,97381,97867,98397,98925,99398,99829,100296,100798,101396,101977,102581,103170,103806,104398,104937,105486,106084,106745,107359,107946,108446,109015,109585,110198,110720,111246,111816,112351,112896,113387,113915,114423,114936,115417,115876,116323,116849,117426,118101,118764,119456,120199,121114,122147,123311,124589,126008,127558,129235,131042,132932,135045
