RegionID,SizeRank,StateName,Lstate,1/1/1996,2/1/1996,3/1/1996,4/1/1996,5/1/1996,6/1/1996,7/1/1996,8/1/1996,9/1/1996,10/1/1996,11/1/1996,12/1/1996,1/1/1997,2/1/1997,3/1/1997,4/1/1997,5/1/1997,6/1/1997,7/1/1997,8/1/1997,9/1/1997,10/1/1997,11/1/1997,12/1/1997,1/1/1998,2/1/1998,3/1/1998,4/1/1998,5/1/1998,6/1/1998,7/1/1998,8/1/1998,9/1/1998,10/1/1998,11/1/1998,12/1/1998,1/1/1999,2/1/1999,3/1/1999,4/1/1999,5/1/1999,6/1/1999,7/1/1999,8/1/1999,9/1/1999,10/1/1999,11/1/1999,12/1/1999,1/1/2000,2/1/2000,3/1/2000,4/1/2000,5/1/2000,6/1/2000,7/1/2000,8/1/2000,9/1/2000,10/1/2000,11/1/2000,12/1/2000,1/1/2001,2/1/2001,3/1/2001,4/1/2001,5/1/2001,6/1/2001,7/1/2001,8/1/2001,9/1/2001,10/1/2001,11/1/2001,12/1/2001,1/1/2002,2/1/2002,3/1/2002,4/1/2002,5/1/2002,6/1/2002,7/1/2002,8/1/2002,9/1/2002,10/1/2002,11/1/2002,12/1/2002,1/1/2003,2/1/2003,3/1/2003,4/1/2003,5/1/2003,6/1/2003,7/1/2003,8/1/2003,9/1/2003,10/1/2003,11/1/2003,12/1/2003,1/1/2004,2/1/2004,3/1/2004,4/1/2004,5/1/2004,6/1/2004,7/1/2004,8/1/2004,9/1/2004,10/1/2004,11/1/2004,12/1/2004,1/1/2005,2/1/2005,3/1/2005,4/1/2005,5/1/2005,6/1/2005,7/1/2005,8/1/2005,9/1/2005,10/1/2005,11/1/2005,12/1/2005,1/1/2006,2/1/2006,3/1/2006,4/1/2006,5/1/2006,6/1/2006,7/1/2006,8/1/2006,9/1/2006,10/1/2006,11/1/2006,12/1/2006,1/1/2007,2/1/2007,3/1/2007,4/1/2007,5/1/2007,6/1/2007,7/1/2007,8/1/2007,9/1/2007,10/1/2007,11/1/2007,12/1/2007,1/1/2008,2/1/2008,3/1/2008,4/1/2008,5/1/2008,6/1/2008,7/1/2008,8/1/2008,9/1/2008,10/1/2008,11/1/2008,12/1/2008,1/1/2009,2/1/2009,3/1/2009,4/1/2009,5/1/2009,6/1/2009,7/1/2009,8/1/2009,9/1/2009,10/1/2009,11/1/2009,12/1/2009,1/1/2010,2/1/2010,3/1/2010,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,12/1/2012,1/1/2013,2/1/2013,3/1/2013,4/1/2013,5/1/2013,6/1/2013,7/1/2013,8/1/2013,sep213,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,oct214,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021
9,0,California,CA,295737,295297,294988,294419,293976,293656,293412,293415,293523,293979,294528,295297,295794,296405,297181,298393,299932,301523,303386,305221,307250,309052,311124,313382,316217,319300,322281,324998,327476,330037,332553,335276,338185,341070,343650,345783,348240,350860,353608,356020,358462,361359,364382,367156,369603,372675,376352,380518,384586,388491,392469,396902,401797,406999,412197,417656,423294,428831,434448,440121,445521,450854,456238,461596,466152,469694,472722,475702,478767,481743,484420,486998,489639,492863,496372,500469,505096,510745,517168,523678,529861,536063,542738,549550,556010,561904,567664,573324,578800,583503,588910,595400,603282,611175,619677,628149,638161,648709,659952,671451,684459,699118,713187,725963,737884,750060,761659,773629,784679,796474,808253,820386,831351,841030,851208,861602,872460,882485,890467,897549,903257,908104,912132,915088,918102,919566,919429,918187,915366,912355,909785,907464,905446,902658,899465,895624,889903,883764,876489,869221,860603,850820,841227,829922,818703,804350,788977,772751,757101,742871,728790,715775,703625,691864,677737,664104,651126,643607,636256,629862,624185,620331,618516,616438,615300,615777,619609,624013,627239,627276,628943,630904,633567,632082,628962,626049,623563,620387,615308,611001,607771,605006,601306,597320,591698,588563,586279,584073,581197,577880,576834,574948,573437,572530,573005,574809,578331,582594,587659,593418,599952,607850,615226,624388,633928,644712,656709,669471,682675,695436,707432,719112,729352,738341,746295,753959,761692,768169,771278,772830,773220,774504,777279,778856,781712,784325,789774,793644,797187,801308,807979,813671,819810,824463,829253,834785,840959,847361,851724,857715,863406,868334,871075,875459,879467,883968,887019,891417,895033,899873,904061,908050,912246,916729,921835,926466,931862,937957,943409,948686,955198,962466,971310,980293,989448,998143,1006215,1012976,1019336,1024973,1029176,1030857,1030234,1029813,1029197,1027179,1024762,1022172,1020805,1022023,1024982,1028108,1028567,1027306,1026940,1027716,1029876,1034385,1041801,1051135,1061487,1068093,1066863,1063781,1065412,1075353,1086623,1098344,1110724,1124069,1137551,1152181,1168234,1189314,1219370
54,1,Texas,TX,190621,190626,190655,190823,191042,191210,191298,191472,191722,192096,192475,192895,192959,193009,193015,193247,193376,193603,193856,194152,194439,194751,195117,195536,196325,197056,197788,197996,198355,198670,199187,199542,199907,199996,200029,199941,200223,200996,202110,203361,204502,205729,206940,208024,208875,209823,210866,211953,212764,213359,213743,214120,214248,214265,214084,214204,214461,214801,215211,215661,215913,215763,215375,215104,215130,215160,215295,215306,215456,215584,215635,215674,215720,215976,216366,216917,217498,218268,218983,219717,220282,220814,221378,221902,222271,222332,222249,222198,222269,222504,222770,223148,223450,223881,224295,224827,225787,227518,229805,231754,233203,234051,235058,235993,237155,238214,239180,240122,241159,241883,242335,242667,243170,243914,244567,245208,245756,246125,246710,247170,247833,248549,249342,250107,250990,251893,252813,253636,254507,255626,256570,257512,258164,258586,258838,259266,259764,260371,260761,261456,262131,262749,263170,263546,263184,262512,261614,261110,260569,260021,259628,259032,258295,257458,256476,255539,255028,254999,255088,254829,254510,254216,254111,253886,253694,253461,253840,254131,254278,254200,254196,254348,254350,254119,253321,252467,251612,250959,250089,249398,248767,247983,247099,246228,245565,245032,244911,245013,245284,245404,245294,245096,245127,245641,246383,247082,247806,248518,249297,250022,250642,251277,252212,253407,254822,256124,257627,259263,260960,262664,264414,266216,268172,270220,272291,274124,275793,277499,279006,280420,281843,283536,285213,287079,288925,290796,292603,294423,296251,298033,299958,301916,303792,305594,307321,308893,310307,311774,313105,314582,316108,317618,318981,320276,321780,323159,324667,325954,327328,328620,330256,331943,333400,334830,336102,337507,338719,339977,341075,342173,343410,344795,346208,347434,348464,349541,350918,352444,353850,355145,356269,357509,358355,359447,360351,361704,363316,364762,365681,366094,366652,367341,368110,368845,369640,369830,370144,370440,371739,372733,374260,375321,376258,377052,378372,380587,383307,386831,390894,395385,399631,404876,410638,417816,425969
43,2,New York,NY,282526,281841,281422,280710,280354,280040,279736,279460,279339,279388,279493,279688,279876,280730,281653,282562,283011,283637,284496,285365,286128,286755,287815,288991,290665,291562,292382,292759,293556,294361,294997,296182,297641,299593,301026,302497,303479,304921,306439,308680,311088,313713,316971,319769,322556,324741,327140,329443,331922,335076,338592,342189,345438,348549,351327,353933,356496,359337,362513,365738,368886,371810,374732,377707,380762,383849,386848,389923,392924,396257,399619,403049,406548,409698,412402,415201,418225,421700,425243,429281,433474,437481,441428,445810,450188,454780,459990,464799,469404,473454,477578,481567,485413,489379,493412,497180,501520,505735,509811,513796,518189,523189,528590,533993,539709,545265,551044,556271,561261,566315,571539,577553,583365,588806,594107,599606,605655,611780,617250,623081,628172,633104,636312,638993,641223,643951,645869,646985,646831,645738,644336,642928,641733,640755,641047,640447,640440,639044,638377,637602,636678,636712,636661,636270,635796,634450,632647,630723,627683,625013,621581,618794,615775,612146,608182,604334,599865,595639,591581,587975,585100,581702,578653,575291,573119,571623,571077,570619,570489,570510,570049,570196,570024,571140,571817,572186,571580,570317,568719,566746,565451,564291,563902,562338,560724,558150,556330,554856,553755,552793,551573,550709,549534,548227,546770,545906,545448,545623,545765,546170,546455,546772,547483,548507,549484,550828,552189,554191,556386,558480,560493,562238,564325,566741,569114,571220,573744,576248,578746,580458,581989,583375,584672,586114,587561,588994,590231,591760,593004,594326,595551,597110,598532,600437,602497,604629,606494,608229,610241,611868,613350,615031,617138,619808,622116,623868,625401,627208,629320,631438,633834,636732,639949,642242,644179,645963,648987,652649,656455,659602,662468,665434,668064,670428,672738,675967,679222,682372,684887,687266,689389,691782,694269,696496,698440,699759,701082,702082,703905,705112,706255,706536,706381,705888,704549,703180,702151,702440,703854,705718,707398,709346,710425,711988,714324,717972,722581,727715,733246,738627,743712,749071,754864,761515,769772
14,3,Florida,FL,186308,186470,186648,186976,187285,187655,188018,188334,188525,188728,188967,189269,189256,189339,189455,189974,190449,190871,191274,191714,192212,192639,193139,193649,194864,195874,196780,196940,197237,197390,197644,198053,198863,199848,200578,201159,201287,201622,202005,202795,203615,204799,205999,207074,207756,208366,209214,210144,211202,212280,213536,214865,216126,217284,218399,219520,220785,222129,223605,225131,226699,228338,230017,231724,233487,235292,237287,239371,241595,243824,245993,248075,250086,252014,253905,255856,257891,260024,262155,264410,266575,268845,271150,273843,276664,279654,282598,285557,288376,290992,293487,295980,298816,301984,305450,308784,312254,315726,319341,322867,326838,331304,336271,341696,347352,353140,358913,365111,371549,378424,385593,393289,401522,410281,419778,429334,438703,447348,455431,463053,470352,476815,483353,489792,495438,499659,501983,503174,503110,502420,501677,500032,498186,495807,492810,488697,483900,478350,472353,466207,460261,454495,448025,441444,433812,426140,417856,410053,401873,394345,386781,379288,371806,364129,356403,349015,342166,335984,330039,324155,318982,314364,310790,307499,304512,302080,300617,299307,298384,297304,296677,296011,295223,293900,292111,290062,287915,285537,282959,280617,278138,275909,273451,271311,269224,267637,266177,265179,264428,264081,263894,263696,263727,263836,264474,265360,266435,267634,269001,270567,272230,274063,275959,278119,280629,283405,286316,289319,292606,295799,299212,302709,306295,309448,312554,315400,318020,320244,322316,323983,325518,326843,328229,329201,330263,331737,333261,334878,336408,338191,339941,341722,343554,345472,347198,349198,351337,353423,355356,357359,359575,361815,363686,365501,367142,369140,371240,373169,374755,376233,378036,379805,381514,383011,384534,386322,388074,389796,391340,393206,395083,396986,398423,399892,401010,402562,404437,406377,408450,410165,411851,413139,414372,415492,416970,418556,420024,420740,421146,421573,421832,422614,423645,424444,424861,425371,426277,427236,428625,430832,433165,435329,436512,437622,438848,441597,445083,449050,453202,457867,462968,468400,474573,481679,490563
21,4,Illinois,IL,232306,232227,232010,231970,231699,231807,231776,233275,235231,238414,238444,237934,236440,237062,237888,238319,239132,239340,239386,236451,232591,226767,226522,227640,230873,231006,231276,231650,231997,232354,233412,236084,239746,244313,246721,248245,248335,249477,250641,252073,253332,255167,257052,258898,260248,261777,262803,263905,265324,267470,269644,271571,273452,275223,276889,278733,280689,282699,284713,286803,288806,290558,292309,294171,296323,298404,300361,302223,304205,306292,308383,310218,311853,313535,315521,317228,319013,320698,322820,324840,326742,328524,330097,331988,333859,336014,337880,339952,341617,343144,344479,346203,348253,350264,352222,353967,356149,358206,360310,362553,365003,367860,370490,373033,375169,377499,380123,382950,385402,387846,390259,392901,395565,398400,401288,404067,407157,410154,412858,415290,417473,419738,421664,423613,425216,426463,427283,428155,428697,429095,429230,429649,430411,431453,431104,430724,428983,428325,426537,425595,423763,422624,421289,419710,418164,413972,412565,407771,406335,401267,399198,394564,391993,387565,383923,378618,372980,368753,364123,361234,357148,354187,351834,349928,347375,345152,343096,342768,341883,341606,339097,338851,336486,336518,332408,330398,327082,325547,322223,319619,316822,314849,313028,309954,308119,305144,304878,303180,302431,299270,297903,295297,294017,291090,290737,290133,290456,289861,288915,288108,287409,288321,289585,290869,292426,294394,295755,297715,299112,301625,303806,306891,309578,312586,313937,315799,316829,318571,319134,319091,319544,320681,321925,322372,323069,323383,324313,324912,325361,325298,326055,327449,328680,328703,328787,328950,329272,329395,329618,330176,330961,332589,333760,334673,335095,335985,337147,338213,339001,339839,340955,342200,343662,344670,346063,347220,348325,348931,349392,350145,351095,352272,353350,354553,355729,356498,356761,357005,357547,358379,358796,359077,359266,359324,359476,359412,359351,359474,359795,360299,360837,361193,361254,360885,359913,358964,358386,358345,359211,359541,360378,360458,360786,361140,362312,364122,366626,369399,372149,374898,377301,380530,383793,388044,392516
47,5,Pennsylvania,PA,177126,176889,176683,176307,176016,175829,175712,175703,175716,175813,175959,176163,176345,176561,176844,177227,177644,178045,178436,178638,178855,178978,179273,179600,180069,180521,180929,181194,181391,181522,181669,182058,182519,183103,183368,183522,183584,183793,184114,184550,184989,185504,186054,186601,187187,187772,188556,189505,190536,191650,192627,193614,194602,195609,196554,197346,198148,198996,199931,200902,201896,202851,203882,204865,205764,206589,207512,208497,209517,210466,211616,212684,213874,215054,216399,217840,219232,220630,221995,223707,225466,227377,228974,230734,232429,234191,235888,237548,239366,241275,243216,244976,246767,248678,250686,252540,254280,256362,258546,260845,263176,265492,268024,270458,273002,275218,277555,280031,282898,285253,287464,289684,292198,294956,297654,300551,303344,306158,308732,311216,313276,315171,316875,318554,320082,321601,322808,323826,324454,325017,325436,325744,326111,326530,327056,327296,327556,327509,327762,327776,327850,327820,327815,327658,327111,326459,325551,324758,323659,322537,321119,319737,318373,316939,315439,313838,312428,311387,310615,309810,308857,307923,307052,306315,305758,305628,305877,306220,306540,306533,306478,306418,306462,306353,305921,305078,303952,302508,300793,299177,297733,296475,295132,293579,291982,290493,289391,288731,288188,287669,287070,286526,285842,285196,284721,284550,284418,284163,283826,283653,283567,283697,283925,284298,284828,285342,285852,286511,287376,288442,289533,290367,291287,291942,292663,293137,293699,294321,294755,294849,294818,295066,295444,295734,295853,296050,296337,296696,296869,296896,297255,297934,298831,299186,299388,299614,300078,300620,301165,301572,302180,302975,303530,303804,303824,304461,305215,306160,306865,307580,308219,309110,309778,310515,311169,312266,313456,314633,315735,316778,317868,319054,320155,321367,322780,324156,326000,327558,329139,329980,330620,331137,331851,332519,333454,334318,335380,336554,337577,338438,339299,340283,341269,342055,342595,343099,343668,344472,345525,346875,348330,349983,350980,352359,354128,356861,359995,363525,367308,371369,375594,380066,385015,390563,397323
44,6,Ohio,OH,169767,169926,170131,170565,171014,171451,171855,172333,172833,173335,173833,174347,174860,175367,175856,176351,176864,177395,177955,178401,178815,179199,179638,180105,180653,181259,181844,182340,182839,183379,183967,184555,185165,185847,186481,186989,187322,187700,188191,188736,189154,189526,189937,190487,191070,191663,192252,193016,193946,194885,195654,196402,197293,198253,199107,199862,200602,201308,202032,202725,203378,203946,204558,205180,205731,206182,206651,207148,207640,208134,208630,209076,209501,209916,210390,210869,211387,211920,212469,212983,213484,214006,214575,215173,215770,216377,216935,217516,218083,218711,219359,220114,220909,221661,222288,222895,223458,224071,224711,225305,225936,226511,227141,227623,228091,228570,229137,229723,230385,231062,231717,232330,232818,233314,233734,234266,234771,235296,235856,236352,236734,236935,237129,237339,237563,237752,237913,237975,237852,237703,237511,237345,237179,237097,236762,236323,235727,235187,234556,233966,233612,233225,232590,231909,231285,230658,230179,229499,228919,228168,227596,226896,226020,224923,224058,223050,221887,220462,219159,218195,217406,216722,216008,215377,214905,214700,214436,214295,214183,214414,214371,214318,214062,213785,213139,212383,211505,210604,209617,208579,207688,206723,205925,204934,204033,203123,202558,202079,201638,201094,200667,200356,199953,199517,199240,199149,198929,198655,198413,198427,198593,198818,199011,199237,199752,200432,201085,201722,202563,203548,204500,205342,206014,206818,207533,208119,208198,208136,208054,208199,208456,208877,209335,209669,210081,210428,210995,211708,212718,213845,214859,215671,216460,217179,217917,218604,219299,219948,220570,221128,221798,222392,223179,223936,224648,225351,226160,227126,228099,229080,230155,231355,232680,233975,235123,236220,237264,238366,239322,240494,241755,243178,244429,245574,246301,247248,248393,250026,251577,252926,254158,255100,255893,256656,257619,258704,259989,261210,262352,263102,264019,265015,266163,267025,267980,268754,269247,269963,271019,272413,273729,275175,276652,278238,279907,282172,284599,287348,290474,293615,296730,299845,303342,307172,311271
30,7,Michigan,MI,174676,175250,175787,176973,178140,179357,180447,181430,182287,183131,184111,185181,186424,187550,188744,189668,190630,191380,192305,193337,194543,195687,196723,197614,198320,199043,199749,200596,201471,202530,203606,204727,205880,207143,208233,209324,210206,211433,212579,213932,215168,216544,217836,219185,220419,221696,222960,224266,225872,227288,228826,230157,231675,233127,234816,236286,237653,238795,240189,241616,242892,243970,245023,246079,247126,248010,248832,249671,250630,251579,252438,253247,254126,255051,255981,256789,257423,258092,258632,259312,259876,260501,261089,261654,262229,262885,263300,263904,264571,265409,266147,266825,267616,268520,269365,270193,270935,271645,272497,273188,273915,274586,275446,276238,276942,277569,278214,278844,279505,279997,280567,281123,281794,282251,282598,282946,283420,283841,284189,284477,284750,285010,285074,284960,284567,283939,283247,282346,281415,280260,279017,277489,275881,274413,272931,271479,269561,267941,266020,264584,262435,260209,257728,255805,253915,251696,249084,246057,243243,240295,237374,233961,230911,228389,226034,223172,219629,216211,212961,210080,207388,204745,202862,201128,199945,198338,197127,195961,195661,195240,195084,195154,195344,195657,195024,194313,193124,192210,191037,190224,189253,188703,187817,186925,185971,185114,184693,184658,184982,185266,185559,185903,186186,186266,186861,187538,188612,189639,190972,192219,193379,194873,196473,197828,199211,201043,203283,205639,207833,210087,212470,214997,217648,219883,221958,224123,226408,228392,229665,230738,231745,232989,233959,234648,235092,235657,236511,237401,238269,239105,240244,241176,241976,242589,243344,244248,244980,245813,246709,247910,249006,250080,250754,251855,253007,254411,255858,257320,259030,260680,262114,263351,264603,265923,267721,269503,271483,272957,274098,275237,276587,278073,279715,281275,283182,285112,286831,288420,289973,291944,293682,295218,296341,297333,298253,299466,300636,301752,302530,303318,304536,306104,307407,307860,307823,307762,308093,308486,309585,310838,312979,315049,315900,316012,316496,318791,321817,325168,328539,332093,335411,339055,342662,346882,352451
16,8,Georgia,GA,190448,190763,191052,191700,192326,193009,193633,194254,194853,195498,196173,196925,197481,198107,198761,199598,200386,201066,201816,202700,203687,204649,205521,206374,207700,208939,210120,210807,211730,212756,213855,214837,215784,216770,217918,219007,219869,220758,221814,223159,224438,225769,227173,228506,229823,231070,232330,233542,234675,235966,237345,238896,240337,241748,243088,244519,245968,247445,248881,250426,251999,253360,254554,255591,256731,257775,258808,259842,260865,261857,262788,263679,264507,265380,266157,266948,267669,268433,269141,269725,270276,270864,271489,272029,272623,273183,273852,274331,274794,275226,275709,276252,276827,277389,277986,278703,279445,280255,281035,281937,282738,283470,284240,285180,286178,287208,288128,288947,289684,290469,291368,292463,293755,295152,296391,297510,298664,299845,301185,302450,303872,305130,306253,307088,307906,308847,309999,311106,312147,313108,314013,314959,315830,316666,317503,318197,318642,318722,318575,318361,317915,317380,316671,316064,314993,313599,311827,310355,308941,307420,305588,303467,301317,298910,296081,292614,289337,286283,283452,280073,276759,273855,271806,270106,268577,266884,265592,264704,263839,262916,261981,261758,261600,260971,259182,256898,254246,252069,249722,247927,245938,244298,242053,239625,236876,234584,232957,232155,231924,231719,231416,230415,229657,228899,229299,229808,230684,231531,232506,233025,233182,233478,234504,235922,237805,239704,241638,243501,245559,247712,249853,252321,255070,257686,259812,261975,263831,265765,267182,268529,269539,270501,271702,272802,273921,274992,276154,277331,278386,279311,280176,281251,282745,284394,285732,286992,288227,289453,290691,291751,293160,294527,296268,297957,299411,300504,301425,302465,303240,304388,305652,307322,308677,310141,311511,312912,314309,316013,317963,319790,321999,323954,326072,328102,330270,332374,334112,335924,337856,339823,341647,343305,344897,346563,348178,349493,350722,351753,353231,354512,355733,356445,357226,358242,359227,359976,360259,360767,361733,363369,365002,366453,367289,368471,369959,372158,374639,377678,381501,385772,390201,394741,399718,405564,412629
36,9,North Carolina,NC,204958,205330,205616,206266,206859,207549,208219,208959,209609,210479,211410,212442,213499,214508,215618,216545,217480,218286,219110,219974,220970,221622,222223,222690,223274,223723,224159,224743,225605,226530,227480,228213,228918,229740,230472,231204,231691,232379,233030,233813,234360,234837,235395,235991,236680,237269,238016,238809,239663,240622,241552,242524,243449,244390,245220,245986,246710,247520,248453,249376,250335,251027,251674,252223,252795,253359,253813,254394,254973,255577,255973,256308,256605,256960,257389,257720,258140,258465,258938,259286,259648,259970,260357,260777,261247,261695,262163,262585,263037,263471,263927,264480,265007,265559,266116,266776,267550,268328,269062,269806,270506,271297,272055,272807,273692,274635,275731,276814,277806,278972,280121,281464,282790,284300,285928,287619,289322,291118,292880,294651,296330,298008,299705,301462,303296,305082,306919,308752,310531,312161,313594,315004,316483,317776,319115,320351,321668,322947,324012,324948,325585,326032,326474,326807,326995,326860,326512,326000,325344,324442,323430,322481,321496,320387,318908,317258,315531,314250,312967,311442,309585,307829,306355,304742,303348,302200,301484,300743,300098,299141,298326,297799,297498,296960,295904,294787,293516,292352,291074,289922,288629,287387,285927,284255,282699,281525,280655,279725,278984,277999,277114,276259,275610,275125,274777,274842,274737,274495,274278,274423,274580,274870,275154,275451,275830,276225,276940,277672,278666,279718,280814,281884,282855,283894,284775,285785,286670,287588,288209,288596,288925,289210,289514,289641,289928,290286,290998,291725,292584,293412,294440,295383,296182,296963,297903,299069,300089,301039,301731,302365,303038,303903,304651,305700,306984,308592,310089,311396,312758,314004,315429,316858,318260,319502,320976,322447,323820,324886,325844,326987,328260,329909,331428,333030,334584,336238,337729,339039,340500,342022,343678,345192,346575,347631,348878,350176,351685,352881,353957,355082,356066,357206,358181,359207,360183,361357,362608,363765,364619,365773,367190,369002,370476,372016,373848,376381,379331,382612,386200,390293,395040,400235,405900,411904,418937
